; --- TAGS ---
; reminder: this is comment starting with a ; - in case you need to flag changes, etc...
; internal formatting is a mix of Markdown plus html (for <br> etc)
; **bold**
; _italic_
; [internal link text](#sometag)
; [external link text](http://www.gunnerkrigg.com)
113	A number that appears in many places in the Court [_{W}_](http://gunnerkrigg.wikia.com/wiki/113)
Parley	George Parley: three years older than Antimony, swordswoman, teleports, candidate for Court medium ('Big Nose Girl'), interested in [Smitty](#smitty) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Parley)
PartyHat	A Party hat, hats are fun!
Paz	Paz Cadena-Blanco, Spanish, (forename is pronounced "Path") can talk to animals; is raising [CityFace](#cityface) with [Bobby](#bobby); becomes close to [Kat](#kat). [_{W}_](http://gunnerkrigg.wikia.com/wiki/Paz)
Photo	A photograph of [Anja](#anja), [Donny](#donny), [Eglamore](#eglamore), [Surma](#surma), [Tony](#tony) and [Brinnie](#brinnie) from their school days [_{W}_](http://gunnerkrigg.wikia.com/wiki/That_Photo)
PlanTheta	[Baking Distraction](#bakingdistraction) for when others are sneaking around
Pliers	Used for manipulating wire; may include wire-strippers or wire-cutters
PowerStation	A Court system to extract energy from the [Etherium](#etherium) on an industrial scale [_{W}_](http://gunnerkrigg.wikia.com/wiki/The_Power_Station)
PrincessMononoke	Animated movie by Hayao Miyazaki
Psychopomps	Escort the dead to the afterlife/[Ether](#etherium) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Psychopomps)
Queslett	[Annie](#annie) &amp; [Kat's](#kat) school House [_{W}_](http://gunnerkrigg.wikia.com/wiki/Queslett)
Rain	[water](#water), falling from the sky
Red	A crazy and abrasive fairy [_{W}_](http://gunnerkrigg.wikia.com/wiki/Red)
Rey	Reynardine, Reynard, Renard, a crafty fox spirit or demon from [Gillitie Wood](#gillitie), possessing a [stuffed wolf toy](#wolftoy) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Reynardine)
ReyComic	A comic page authored by [Reynardine](#rey)
River	Comes as advertised
RobotCode	A cube with the [Robots](#robots)' instruction code transcribed onto it
RobotDesigns	Designs and Blueprints for [robot](#robots) old and new
RobotHQ	Where the [robots](#robots) hang out
Robotics	Like [Etherics](#etherics) but with metal
RobotKing	A [robot](#robots) with a crown, blank face, and a pen
RobotParts	Bits of [robot](#robots) currently not attached
Robots	A collective noun
RobotS13	originally S-13, a messianic [Seraph](#seraph) class [robot](#robots) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Robot)
RobotTomb	Tomb/theatre full of [robots](#robots) [_{W}_](http://gunnerkrigg.wikia.com/wiki/The_Tomb)
Robox	Has no hands; awesome; everybody loves Robox. The opposite of [terrible](#terrible) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Robox)
Rocket	A cylindrical projectile that can be propelled to a great height or distance by the combustion of its contents.
RogatOrjak	Dragon-like giant [_{W}_](http://gunnerkrigg.wikia.com/wiki/Rogat_Orjak)
Rolodex	the scryer, for incantations pertaining to names
Roof	The top of the court
ROTD	Realm of the Dead. In charge of dead people and ghosts. [Mort](#mort) was sent on a pretty important mission by them. (see also the [Vasty Hall of Death](#vastyhall))
S1	Original [Seraph](#seraph) [robot](#robots) made by [Diego](#diego); predecessor of [Robot](#robots13) [_{W}_](http://gunnerkrigg.wikia.com/wiki/S1)
S13	[Robot](#robots13) was Seraph 13
SailorBot	A class of robot encountered on the [cruise liner](#cruiseliner). Unusually, these are networked "fingers" of the Liner Bot itself
Salon	Court hair salon, staffed by the [HairdresserBot](#hairdresserbot)
Sareed	Anwyn tree-weaver
ScienceLab	A school science lab where [Kat](#kat) does her initial experiments and makings
Scissors	A simple device for cutting things, especially paper, hair
Sea	a whole bunch of (salty) water
SecurityDevice	Small devices that supposedly warn [Jack](#jack) when people are coming
SecurityRobots	They ensure security, as [robot](#robots) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Guard_Bots)
SeedBismuth	It's a mystery; involved in the [founding](#founding) of the court [_{W}_](http://gunnerkrigg.wikia.com/wiki/Seed_Bismuth)
Seeds	Some seeds that [Ysengrin](#ysengrin) uses for his terrifying skills of gardening. Used to create the [WoodenArm](#woodenarm) and also dropped in the [Court Hall](#courthall).
Seraph	Generic member of the [Seraph](#seraph) model of [robot](#robots). [Robot](#robots13) was one originally [_{W}_](http://gunnerkrigg.wikia.com/wiki/S_Models)
Shadow	The Thin Man, a [shadowman](#shadowmen) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Shadow_2)
Shadowman	Not the Thin Man, but one of the [shadowmen](#shadowmen) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Shadow_3)
Shadowmen	The glass-eyed men; creations of [Coyote](#coyote) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Shadow_People)
Shell	A tall, thin female security guard of the Court, seen with [Aata](#aata) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Shell)
SimRocket	A rocket/spaceship in [Dr. Disaster's](#drdisaster) [simulation](#simulation)
Simulation	One of [Dr. Disaster's](#drdisaster) holographic adventures
SirYoung	Protector of the Court at its [founding](#founding); has a park dedicated to him, associated with [Nevihta](#nevihta), also see [Bullbot](#bullbot) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Sir_Young)
Sivo	A [Rogat Orjak](#rogatorjak) who was close friends with [Eglamore](#eglamore) [_{W}_](http://gunnerkrigg.wikia.com/wiki/Sivo)
Skeleton	The bones of a once living thing, or the representation thereof
SkullCrossbones	The skull and crossbones; a poison or toxin symbol; symbolises death; also associated with pirates
Sky	Comes as advertised; full of stars; the universe; the "father" in mythology
SkyWatcher	A praying mantis-like [robot](#robots) that collects meteorological data [_{W}_](http://gunnerkrigg.wikia.com/wiki/Sky_Watcher)
SmallBot	A young eye-witness model [robot](#robots)
Smitty	Andrew Smith ('Mighty Eyebrows Boy'), a student two years above Annie; brings order from chaos; interested in [Parley](#parley); becomes Court medium
Smoke	Where it is, there is often [fire](#fire)
Snuffle	a green forest fairy: friend of, speaker for, the [Jackalope](#jackalope). Name derivation given on [page 1583](#p1583).
Spankies	From [Annie](#annie) for when [Coyote](#coyote) is a Bad Dog!
Sparring	A mock or training fight; usually for learning or practising martial arts or swordfighting
Speakeasy	A hotel-like place that the students sneak out to with a "speakeasy-like atmosphere"
SpecialCases	A part of the [Realm of the Dead](#rotd)
SpecialCircumstances	"beyond those metaphysical event-horizons, there exist ... special circumstances"
Speedboats	make up the Robots' fleet
SpellCircle	a complex combination of geometric lines, symbols and writing, used in _e.g._ Hermetic magic
Spider	Often white and [etheric](#etherics), also often real.
StarHeadband	A headband with stars on antennae that [Annie](#annie) uses to pretend she is a [robot](#robots)
Stars	Celestial bodies
Steadman	An archer, present at the [founding](#founding) of the court, a close friend of the [Artilleryman](#artilleryman)
StepsHouse	[Eglamore](#eglamore) lives here
StopBot	Model B [robot](#robots) with stop signs for heads and boxing glove arms
Students	Miscellaneous students
SubDorm	Year 9's dorm: a retrofitted sub aquatic deep sea drilling platform. [Lindsey](#lindsey) and [Bud](#bud) are the dorm monitors
SullivansJohn	see [John](#john)
Sun	Our closest [star](#stars)!
SunSymbol	symbolic representations of the Sun other than [GoldSymbol](#goldsymbol)
Surma	Surma Stibnite, [Annie's](#annie) mother. Stibnite (mineral) is a source of Antimony (element). 
SurmaWhisper	[Surma](#surma) whispers something to [Annie](#annie)
Sweets	Tasty and sugary
Sword	A long weapon with a blade held in one or two hands. Sometimes magical. Wielded by [Eglamore](#eglamore), [Parley](#parley), [Jeanne](#jeanne) among others
Symbol	some unidentified symbol (please help identify!)
Tea	a white-haired woman who explains things between chapters or books and introduces breaks in the story
Teacher	A miscellaneous teacher
Tears	In the eyes, visibly crying, _etc_
Telescope	Good for seeing celestial bodies, satellites and other things that are far away
Tents	For sleeping inside, outside
Terrible	[BoxBot](#boxbot)
Thief	A robber, burglar, stealer.
Thornhill	One of the other school Houses
TicToc	Birdlike robotic watchers: the "Thousand Eyes"; [Zimmy](#zimmy) can feel its stare
Tiki	A Polynesian totem
TimeStop	When time is stopped from passing; [Coyote](#coyote) can do this.
Tom	Tom Siddell, author of Gunnerkrigg Court
TomatoWangFae	likes to wang tomatoes. Friends with [BlushFae](#blushfae)
Tombstone	The marker for a grave.
Tony	Anthony Carver, [Annie's](#annie) father
TornSea	an [etheric](#etherics) gap in the sea's reality
Torus	A city fairy who deals with pigeons such as City Face. Sister of [Ogee](#ogee).
Totem	An encapsulation of "the mind, the will, the _life_" of a creature for transfer to a new body
Tower	A tower in the Court where [Aly](#aly) stays, while transitioning
ToyShop	A toy shop in [Zimmingham](#zimmingham) where [Zimmy](#zimmy) and [Gamma](#gamma) meet up if they get separated
Train	One of many trains that is used to commute in the court
TrainStation	One of many stations in the court
Traitor	One who betrays their allies
TransferClinic	A place where the Court grows mindless children in metal vats
Treatise	Symbolic representation of the story
TreeBody	[Ysengrin's](#ysengrin) artificial tree-like body. His true body underneath is a physically weaker, much older wolf
TreeDog	They usually go woof, unless created by the [forest](#gillitie)
Trees	Come as advertised (usually)
Umbrella	Hand-held cover to keep the [rain](#rain) off.
Uniform	An outfit one wears when on official business
Valknut	A Norse triangular knot symbol, indicates a form of teleport/gateway such as that used by [Brinnie](#brinnie) or the [beacon](#beacon) that [Eglamore](#eglamore) gave to [Annie](#annie)
Vampire	a creature, perhaps undead, which exists by sucking the blood (and life) of the living
VastyHall	the Vasty Hall of Death, an alternative visualisation of the [Realm of the Dead](#rotd) to a fairground fright house
Veles	Ancient Slav snake-like god who guards the underworld; [psychopomp](#psychopomps)
VenusFigurine	a stone woman, in the manner of a [prehistoric stylised female figure](https://en.wikipedia.org/wiki/Venus_figurines) -- a reference to Jones according to Tom Siddell's [restrospective](https://youtu.be/ETZqrN27irQ)
VenusSymbol	A symbol for Venus/Aphrodite; also the symbol of females/femininity
VHStape	video tape cartridge, a.k.a.: the Vault of Memory
VideoPlayer	VHS tape player; a magical mystery memory machine
VII	The number seven, numerologically symbolises virginity, change, completion of a cycle, luck, perfection
VincentPrice	A famous actor
WalkInPicture	Framed glowing pictures with footprints leading into the scene -- a discarded plot according to Tom Siddell [{Y}](http://youtu.be/t48sqVVkd0A)
WanderingEye	Symbol of that which calls itself [Jones](#jones), currently
Ward	a magical protection
Warehouse113	Warehouse [113](#113) is Not a secret base at Long Acre
Water	Ancient element; H<small><sub>2</sub></small>O; necessary for life; rivers, lakes and oceans are made of this
WaterFae	'this girl' -- short blue spikey hair, 2 dots under right eye, had a waterfall?
WaterSymbol	Alchemical symbol for [water](#water)
WhiteRabbit	Every story begins with a rabbit (except the ones that don't)
WhiteRoom	Annie's living space in year 10 (Chapter 51 on)  after the return of her [father](#tony)
WhiteSpider	Also known as WhiteLegs, associated with [Jack](#jack) Hyland's [etheric](#etherics) form when he got stuck in [Zimmingham](#zimmingham), until [Zimmy](#zimmy) helped him get rid of it
Winsbury	William (Willie) Winsbury; student with [Annie](#annie) and [Kat](#kat), not a very nice boy; dating [Janet](#janet)
Wisp	a misleading monster of [Gillitie Wood](#gillitie) (_see_ [Will-o'-the-Wisp](https://en.wikipedia.org/wiki/Will-o%27-the-wisp))
WolfToy	A small wolf toy made by [Annie's](#annie) mother (tagged when _not_ animated by [Reynardine](#rey))
WoodenArm	A mysterious wooden arm from [Gillitie](#gillitie); initially attached to [Robot](#robots13); finds its way to [Habitat](#habitat) [113](#113) and finally to [Young's Park](#youngspark)
WoodsDweller	A humanoid inhabitant of [Gillitie Wood](#gillitie) with knowledge of [Court](#court) uniforms
WorkshopKey	The key for [Kat's](#kat) Workshop
WovenTree	more of a bonsai than full tree
YellowFae	'him' -- yellow hair, kinda sideways windswept
YoungBot	A large, bull-like [robot](#robots) made by [Diego](#diego) that resembles [Sir Young](#siryoung)
YoungsPark	A large park within the Court, looked after by [Bob](#bob) and his wife [Marcia](#marcia); named after [Sir Young](#siryoung), the original Protector of the Court
Ysengrin	Wolf/Tree hybrid demigod of the [forest](#gillitie); [Coyote's](#coyote) General
ZAM	Noise of a [Valknut](#valknut) teleport
Zeta	A Greek letter &Zeta;/&zeta; corresponding to our "Z"; [Zimmy's](#zimmy) real name
Zimmingham	[Zimmy's](#zimmy) nightmarish version of Birmingham, which is where she and [Gamma](#gamma) are originally from
Zimmy	aka [Zeta](#zeta), a strange girl who is friends with [Gamma](#gamma); from Birmingham originally; an etheric generator
; --- Chapter TAGS ---
ch-01	The Shadow and The Robot [{Y}](http://youtu.be/I9oF6ogesUA)
ch-02	Schoolyard Myths [{Y}](http://youtu.be/t48sqVVkd0A)
ch-03	Reynardine [{Y}](http://youtu.be/kQhsa8Ldf3c)
ch-04	Not Very Scary [{Y}](http://youtu.be/WRy0msan9rQ)
ch-05	Two Strange girls [{Y}](http://youtu.be/hgRSPQTvdn8)
ch-06	A Handful of Dirt [{Y}](http://youtu.be/9GMaSm_jFdA)
ch-07	Of New and Old [{Y}](http://youtu.be/jgbRFdOa1OM)
ch-08	Broken Glass and Other Things [{Y}](http://youtu.be/Lp-YIsNiOCQ)
ch-09	Questions and Answers [{Y}](http://youtu.be/RfpVdfLXydI)
ch-10	Doctor Disaster versus the Creepy Space Aliens from Outer Space [{Y}](http://youtu.be/MliJpVzKEsw)
ch-11	Dobranoc, Gamma [{Y}](http://youtu.be/GXeILNEigjc)
ch-12	Mainly Involves Robots [{Y}](http://youtu.be/gMsc0Aqapvk)
ch-13	A Week For Kat [{Y}](http://youtu.be/MA6RdGS8YRo)
ch-14	The Fangs Of Summertime [{Y}](http://youtu.be/yJMW-dn7qD0)
ch-14a	Intermission: A Selection of Guest Comics and Other Surprises
ch-15	Red Returns [{Y}](http://youtu.be/zRAI9RrOL4c)
ch-16	A Ghost Story [{Y}](http://youtu.be/d5agOAjjJsc)
ch-17	The Medium Beginning [{Y}](http://youtu.be/NbVAIt7VJzY)
ch-18	S1 [{Y}](http://youtu.be/fDZWjC341oc)
ch-19	Power Station [{Y}](http://youtu.be/wXiHFd_SB9c)
ch-20	Coyote Stories [{Y}](http://youtu.be/2CiKLCERprA)
ch-21	Blinking [{Y}](http://youtu.be/ru5BEUlslMQ)
ch-22	Ties [{Y}](http://youtu.be/ETZqrN27irQ)
ch-22a	Intermission: City Face
ch-23	Terror Castle of the Jupiter Moon Martians! A spacemonauts adventure! [{Y}](https://youtu.be/Z_TsUlHat0s)
ch-24	Residential [{Y}](https://youtu.be/9wOhmBHUbmc)
ch-25	Sky Watcher And The Angel [{Y}](https://youtu.be/BU4VhtsJInI)
ch-26	The Old Dog's Tricks [{Y}](https://youtu.be/I8mA0KaX8h8)
ch-27	Spring Heeled [{Y}](https://youtu.be/Q66FN07bMf8)
ch-28	Spring Heeled Part 2 [{Y}](https://youtu.be/qF-mrQUbQc4)
ch-29	A Bad Start
ch-30	The Coward Heart
ch-31	Fire Spike
ch-31a	Intermission: City Face 2
ch-31b	Annie in the Forest, part 1
ch-31c	Annie in the Forest, part 2
ch-32	From the Forest She Came
ch-33	Give and Take
ch-34	Faraway Morning (and three short tales)
ch-35	Parley and Smitty Are In This One
ch-36	Red Gets a Name
ch-37	Microsat 5
ch-38	Divine
ch-39	The Great Secret
ch-40	The Stone
ch-41	Changes
ch-41a	Intermission: City Face guest comics
ch-42	Catalyst
ch-43	Quicksilver
ch-44	Crash Course
ch-45	Thread
ch-46	The Realm of the Dead
ch-47	See Ya!
ch-48	Tall Tales
ch-49	The Torn Sea
ch-49a	Intermission: City Face's Book of Birds
ch-50	Totem
ch-51	The Tree
ch-52	Sneak
ch-53	Annie and the Fire
ch-54	Meetings and Re-Meetings
ch-55	The Break Out
ch-56	New Data
; ---TAGS EOF ---
